---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
  14k   38k|   0    29k   37k   33k
  15k   43k|   0   222k  232k   35k
  14k   37k|   0   505k  519k   24k
  16k   39k|   0   433k  443k   52k
  12k   26k|   0    25k   28k  107k
  10k   19k|   0    11k   13k  470k
  11k   16k|   0    39k   43k  750k
  11k   17k|   0    58k   69k   71k
  16k   37k|   0   400k  414k   50k
  11k   26k|   0   315k  325k 4268 
  15k   47k|   0   564k  581k   21k
  19k   30k|   0   222k  222k   51k
  16k   48k|   0    31k   36k   49k
  11k   22k|   0    17k   20k  451k
9647    14k|   0    29k   30k  573k
7861  9579 |   0    53k   62k  498k
7937    12k|   0    87k   88k   18k
  13k   31k|   0   354k  367k   23k
  15k   37k|   0   377k  390k   27k
  12k   33k|   0   402k  414k   15k
  14k   35k|   0   407k  420k   20k
  14k   33k|   0    59k   52k   24k
  13k   30k|   0    25k   27k  161k
  11k   24k|   0    16k   19k  482k
8222    13k|   0  6273  7649   160k
9211    12k|   0    27k   35k  904k
8842    12k|   0    27k   33k   20k
8849    17k|   0   151k  155k   19k
  12k   28k|   0   332k  343k 8319 
  13k   32k|   0   452k  468k   33k
  12k   31k|   0   311k  323k   14k
  11k   28k|   0   305k  316k 5632 
  13k   31k|   0   260k  264k   18k
  13k   33k|   0    41k   36k   16k
  16k   52k|   0   187k  167k  244k
  19k   55k|   0   218k  171k  714k
  14k   38k|   0    14k   17k  223k
  13k   30k|   0    38k   36k 1013k
  12k   21k|   0    30k   37k 8034 
  12k   26k|   0   101k  103k   31k
  12k   31k|   0   309k  318k 7959 
  13k   33k|   0   291k  302k 6579 
  12k   32k|   0   311k  322k 7309 
  17k   36k|   0   400k  417k   14k
  12k   34k|   0   365k  378k   12k
  13k   35k|   0   198k  192k 6413 
  12k   33k|   0    29k   22k 4496 
  17k   46k|   0    47k   45k   79k
  23k   71k|   0    49k   54k  563k
9899    22k|   0  9244  8008   359k
8505    11k|   0  4076  5466   350k
7917  8782 |   0    25k   37k  748k
  10k   15k|   0    32k   29k   22k
9414    19k|   0   143k  143k   28k
  13k   35k|   0   311k  321k 6590 
  12k   34k|   0   301k  311k 6634 
  13k   38k|   0   303k  313k 4745 
  11k   31k|   0   288k  299k 4217 
  12k   32k|   0   301k  312k 6938 
  13k   34k|   0   335k  347k   13k
  14k   35k|   0   164k  153k 7918 
  12k   35k|   0    28k   22k 5883 
  13k   36k|   0    12k   13k 6030 
8880    23k|   0  4011  4529   330k
  11k   27k|   0  4844  5657   427k
8810    18k|   0  3753  5012   263k
7747    10k|   0    76k   11k  574k
  11k   17k|   0    30k   45k  626k
9417    15k|   0    14k   15k 8564 
9258    16k|   0   107k  109k   31k
  12k   33k|   0   290k  300k 4573 
  13k   37k|   0   293k  304k 5084 
  14k   39k|   0   295k  306k 5229 
  15k   40k|   0   325k  338k   18k
  12k   35k|   0   524k  539k   20k
  13k   37k|   0   376k  390k 6980 
  14k   38k|   0   143k  128k 6511 
  12k   34k|   0    21k   17k 6824 
  11k   31k|   0    13k   13k 5372 
9313    25k|   0  4199  4928   263k
8425    22k|   0  9430    10k  422k
8225    21k|   0  3830  4558   387k
7318    10k|   0  4552  5434   158k
7979  9229 |   0  6612  7522   986k
9425  9679 |   0    48k   67k  214k
7395  8539 |   0    11k   11k 4837 
9838    24k|   0   203k  205k   26k
  13k   35k|   0   308k  317k 5216 
  12k   34k|   0   339k  351k   12k
  12k   33k|   0   297k  308k   11k
  12k   32k|   0   282k  293k 4259 
  12k   33k|   0   289k  300k 7309 
  12k   34k|   0   305k  316k 6688 
  12k   34k|   0   284k  295k 4581 
  14k   36k|   0   191k  176k 9276 
  11k   32k|   0    49k   37k 5459 
  11k   32k|   0    16k   16k 5803 
  11k   30k|   0  4100  4612    80k
8591    25k|   0  6443  5396   425k
  16k   47k|   0  6778  7288   470k
  11k   21k|   0  4515  5064   226k
9814    16k|   0  5804  7467   415k
9598    16k|   0    25k   29k  933k
  12k   24k|   0    20k   34k   56k
  11k   22k|   0    17k   18k   13k
9688    20k|   0   147k  150k   26k
  13k   35k|   0   284k  294k 4458 
  12k   34k|   0   280k  290k 4478 
  15k   44k|   0   297k  308k 5003 
  16k   45k|   0   320k  332k 5564 
  12k   35k|   0   290k  301k 4886 
  12k   35k|   0   302k  313k 4395 
  12k   35k|   0   296k  307k 4525 
  13k   35k|   0   295k  306k 9889 
  13k   34k|   0   138k  122k 4580 
  12k   35k|   0    45k   34k 4796 
  11k   35k|   0    15k   16k 5116 
  11k   32k|   0  3987  4707    27k
9167    25k|   0  6117  6520   395k
9595    24k|   0    11k   16k  433k
8788    24k|   0  6833  4750   380k
7485    10k|   0  4518  6292    79k
6929  7851 |   0  4124  5224   790k
7290  8786 |   0  5456  5811   676k
  14k   35k|   0    16k   11k 9700 
8444    16k|   0  4946  6024  8583 
9620    22k|   0  4748  5908  5743 
  12k   24k|   0    36k   31k   24k
  10k   21k|   0  8343  9265    11k
8166    13k|   0   656  1455  1158 
8799    16k|   0  3699  4721  4918 
6879    10k|   0  3930  4702  4438 
  11k   32k|   0   103k   86k   76k
  13k   27k|   0    30k   23k   19k
  14k   32k|   0    34k   38k   38k
9704    16k|   0    22k   27k   38k
  17k   39k|   0    63k   66k   52k
  11k   26k|   0  9442    12k   16k
  10k   22k|   0  8019  9934  8100 
6962  9933 |   0  5971  6659  7249 
7288    11k|   0  8165    11k   10k
  10k   21k|   0    15k   17k   19k
  17k   31k|   0    12k   14k   13k
 260  1058 |   0    31k   40k   34k
  15k   42k|   0    57k   59k   48k
7266    11k|   0  5982  7003  7203 
6872  9448 |   0  4191  4881  4765 
4821  8331 |   0  3176  3469  3377 
6432    10k|   0  6116  7667  7469 
8376    13k|   0  6698  7391    20k
6100  9796 |   0  7107  8491  8622 
7681    13k|   0  5101  6213  6066 
7932    12k|   0  6303  7577  7331 
8347    14k|   0  7342  8883  8345 
8864    14k|   0    11k   12k   11k
6756  9123 |   0  5055  6129  6460 
8491    14k|   0    14k   16k   17k
7914    13k|   0  5818  7153  6898 
8696    19k|   0  4287  5531  7852 
7376    12k|   0  4028  4824  6773 
7615    11k|   0  5639  6599  6509 
6967    10k|   0  4984  6899  6857 
8587    14k|   0  7731  8496  9223 
6952    10k|   0  6826  6893  6784 
8202    13k|   0    15k   12k 6809 
  10k   19k|   0  9222    11k   14k
  12k   40k|   0  9913    11k 8816 
  11k   23k|   0    20k   21k   12k
  13k   35k|   0   217k  225k   30k
  20k   55k|   0   220k  238k  341k
  14k   28k|   0   122k  129k  111k
  11k   22k|   0   401k  422k   16k
  11k   21k|   0   210k  226k  173k
  11k   22k|   0    79k   96k  350k
  17k   38k|   0   123k  132k  399k
  42k   86k|   0   207k  223k  132k
 996  2291 |   0   156k  192k  737k missed 4 ticks
4002  6275 |   0    64k   81k  338k
9744    12k|   0    28k   31k  390k
  11k   12k|   0    12k   11k   34k
  10k   23k|   0   324k  342k   13k
  11k   22k|   0   373k  395k 6747 
  11k   21k|   0   401k  426k 5417 
9761    19k|   0   243k  254k   84k
  11k   20k|   0    78k   94k  359k
  11k   19k|   0    73k   90k  346k
1323  2154 |   0    61k   79k  362k
  34k   75k|   0   222k  235k  119k
1177  2805 |   0   821k  869k 8581  missed 4 ticks
  10k   28k|   0   536k  565k   33k
8451    19k|   0    78k   88k  279k
7761    16k|   0    77k   93k  359k
4051  7071 |   0    75k   91k  358k
  11k   19k|   0   126k  146k  397k
  11k   18k|   0    63k   79k  325k
  14k   18k|   0    67k   73k  632k
  10k   15k|   0  9209    10k 6488 
9789    12k|   0    63k   68k   32k
  15k   38k|   0   464k  494k   24k
  15k   38k|   0   357k  379k 5965 
  16k   44k|   0   381k  406k 6604 
  12k   27k|   0   472k  501k   32k
  12k   26k|   0   313k  327k 7152 
  14k   24k|   0   135k  147k  367k
  10k   18k|   0    68k   84k  313k
  11k   19k|   0   113k  132k  379k
  14k   22k|   0    72k   88k  328k
  13k   21k|   0   112k  132k  375k
  12k   20k|   0    47k   60k  259k
  14k   16k|   0    61k   68k  739k
9883    11k|   0    15k   16k   11k
9500    10k|   0  5478  6072  4765 
  10k   15k|   0   123k  129k   16k
  17k   47k|   0   434k  461k 9767 
  13k   28k|   0   361k  383k   10k
  21k   48k|   0   375k  397k 4686 
5569    15k|   0   397k  423k   14k
  17k   37k|   0   377k  401k   16k
  16k   33k|   0   255k  261k 8061 
  11k   25k|   0    74k   83k  260k
  11k   24k|   0    70k   86k  318k
  12k   26k|   0    67k   82k  306k
  16k   34k|   0    99k  116k  422k
  44k   95k|   0    42k   51k  310k
1417  2924 |   0  2898  5645  3387  missed 4 ticks
7232    10k|   0  9129  9682  5663 
  16k   51k|   0   374k  396k   19k
 382  1603 |   0   796k  844k 9217 
  28k   88k|   0   399k  424k 8661 
  12k   33k|   0   378k  403k 7042 
3567  9385 |   0   393k  420k 2797 
  17k   65k|   0   440k  468k 7519 
  15k   41k|   0   369k  395k 9956 
  20k   70k|   0   277k  272k   28k
  16k   35k|   0   158k  122k  447k
  13k   28k|   0    81k   95k  336k
9704    20k|   0    77k   92k  324k
9319    19k|   0    69k   84k  313k
9728    18k|   0    73k   88k  333k
  15k   27k|   0   101k  119k  410k
  22k   60k|   0    76k   91k  431k
3807  6469 |   0    19k   21k 1411k
  20k   47k|   1    95k  107k  247k
  24k   14k|   0    64k   61k   74k
  13k   30k|   0    97k  102k   36k
  11k   27k|   0   503k  531k   12k
  12k   29k|   0   410k  435k 8412 
  12k   27k|   0   391k  415k   11k
  14k   34k|   0   412k  440k   24k
  14k   40k|   0   362k  386k 7080 
  17k   47k|   0   350k  373k 9828 
  23k   63k|   0   495k  511k   71k
  14k   33k|   0    93k   95k  218k
  10k   23k|   0    73k   89k  328k
  12k   25k|   0    80k   97k  330k
  21k   40k|   0   165k  185k  507k
  15k   40k|   0   105k  115k  391k
  16k   45k|   1   130k  144k  428k
  23k   42k|   0   128k  155k  501k
  11k   25k|   0    55k   61k  257k
7789  9000 |   0  7856  8834   595k
9842    12k|   0    53k   63k  455k
  11k   16k|   0    11k   12k 7179 
3744  4599 |   0    13k   13k   17k
8379    11k|   0    44k   44k   15k
  13k   30k|   0   331k  351k   34k
  13k   30k|   0   357k  380k 6951 
  16k   41k|   0   344k  368k   11k
  14k   35k|   0   333k  355k 6795 
  16k   40k|   0   420k  445k   36k
  14k   34k|   0   356k  380k 6197 
  13k   30k|   0   368k  392k   21k
  15k   40k|   0   343k  365k 6586 
  15k   39k|   0   324k  343k 6663 
  14k   40k|   0   134k  121k   46k
  13k   37k|   0    75k   87k  301k
  22k   59k|   0   107k  133k  408k
  18k   67k|   0    99k  117k  396k
9005    22k|   0   122k  142k  402k
  11k   23k|   0    67k   82k  306k
  13k   29k|   0   128k  146k  396k
  12k   28k|   0    78k   96k  336k
  11k   23k|   0    74k   91k  363k
9750    21k|   0    58k   71k  279k
  12k   19k|   0    52k   57k  473k
  10k   14k|   0    34k   44k  722k
  12k   16k|   0    64k   68k   66k
9764    13k|   0  5748  6728  5931 
  10k   14k|   0    48k   52k   50k
  11k   20k|   0   137k  143k   26k
  17k   50k|   0   388k  417k   13k
  18k   38k|   0   367k  387k   15k
  14k   33k|   0   347k  368k 7830 
  15k   32k|   0   345k  369k 9370 
  16k   35k|   0   332k  352k   14k
  15k   33k|   0   412k  395k   20k
  17k   34k|   0   364k  387k   32k
  19k   54k|   0   352k  377k   10k
  19k   51k|   0   367k  392k 8782 
  20k   55k|   0   190k  183k   48k
4053  8861 |   0    71k   86k  324k
  12k   30k|   0   143k  164k  398k
  11k   23k|   0    66k   80k  299k
  13k   29k|   0   124k  145k  406k
  10k   23k|   0    73k   92k  332k
  12k   24k|   0   101k  120k  444k
  10k   23k|   0   111k  129k  398k
  12k   26k|   0   124k  146k  433k
  11k   24k|   0    63k   78k  325k
9879    22k|   0    58k   72k  290k
9772    16k|   0    21k   27k  154k
9665    13k|   0  4802  6911   871k
9593    12k|   0    40k   51k  341k
9518    12k|   0    15k   15k 6568 
  13k   19k|   0    59k   62k   63k
  10k   14k|   0    21k   23k 7425 
  17k   24k|   0   193k  185k   70k
  18k   39k|   0   346k  371k   24k
  16k   36k|   0   404k  430k   22k
  13k   32k|   0   326k  347k 6417 
  17k   41k|   0   388k  415k   26k
  17k   50k|   0   330k  353k 8912 
  18k   40k|   0   352k  376k   32k
  13k   35k|   0   347k  370k 6257 
  12k   30k|   0   353k  376k 8800 
  13k   32k|   0   345k  367k 9167 
  14k   32k|   0   375k  399k   15k
  12k   31k|   0   233k  231k 6252 
  10k   26k|   0   103k   95k  122k
8377    20k|   0    66k   80k  302k
8426    20k|   0    66k   81k  304k
  13k   44k|   0    96k  113k  357k
  12k   37k|   0    65k   80k  296k
  11k   31k|   0    62k   77k  294k
  10k   28k|   0   132k  153k  383k
9358    23k|   0    65k   79k  298k
  10k   25k|   0   118k  137k  372k
9263    24k|   0    67k   81k  306k
8992    22k|   0    87k  102k  328k
  12k   23k|   0    84k   99k  343k
  11k   20k|   0    40k   52k  207k
  11k   15k|   0    52k   55k  721k
9879    14k|   0    51k   64k  703k
  11k   17k|   0    24k   32k   24k
  12k   24k|   0    34k   67k   51k
  14k   40k|   0   216k  228k   88k
  17k   50k|   0   761k  808k   58k
  14k   41k|   0   775k  823k   22k
  15k   43k|   0   814k  864k   26k
  19k   46k|   0   830k  877k   72k
  17k   52k|   0   823k  873k   46k
  17k   51k|   0   281k  287k   16k
  14k   35k|   0    85k   94k  258k
  11k   31k|   0    69k   84k  305k
  10k   28k|   0    69k   82k  306k
  14k   34k|   0   131k  149k  402k
9634    24k|   0    70k   85k  320k
  12k   28k|   0   120k  139k  416k
  10k   26k|   0    70k   87k  320k
9387    24k|   0    74k   89k  338k
  12k   28k|   0    84k  100k  363k
9244    24k|   0    67k   82k  307k
  11k   28k|   0   130k  151k  422k
  13k   35k|   0    68k   85k  372k
  13k   31k|   0    26k   34k  145k
9462    14k|   0  6666  8171   773k
9009    12k|   0    51k   67k  714k
  10k   19k|   0    13k   18k   13k
  11k   13k|   0  9126    10k   11k
8242    11k|   0  6080  6910  9086 
9796    16k|   0    12k   13k   11k
  11k   22k|   0    63k   65k   23k
  15k   39k|   0   313k  333k   13k
  14k   37k|   0   365k  389k 9042 
  23k   62k|   0   543k  573k   58k
  16k   41k|   0   356k  386k   12k
  14k   34k|   0   378k  400k   11k
  16k   42k|   0   519k  551k   55k
  15k   37k|   0   317k  339k 7850 
  14k   38k|   0   402k  428k   44k
  15k   36k|   0   330k  352k   11k
  17k   51k|   0   317k  340k 6253 
  16k   41k|   0   317k  339k 6003 
  15k   42k|   0   369k  392k   12k
