---system-- ------total-cpu-usage------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------interrupts------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---procs--- -----cpu2-usage---- ---file-locks-- -----virtual-memory----
 int   csw |usr sys idl wai hiq siq stl| 8    9    14   17   18   24   25   26   27   28   29   30   31   32   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99  100  101  102  NMI  LOC  SPU  PMI  IWI  RTR  RES  CAL  TLB  TRM  THR  DFR  MCE  MCP  PIN  NPI  PIW |run blk new|usr sys idl wai stl|pos lck rea wri|majpf minpf alloc  free
           |                           |    | 16   0    |                   |152 5.0  41 116|                       
7800  8593 |  5   2  92   0   0   0   0|  8k| 12   0 9.9| 73  26   0   0   0|152 5.0  41 116|   0    43k   53k  232k
8325    12k|  5   2  93   0   0   0   0|  9k|9.0   0  16| 67  33   0   0   0|152 5.0  41 116|   0   106k  113k  126k
  14k   33k|  6   4  90   0   0   0   0| 15k|9.0   0 2.0| 31  69   0   0   0|152 5.0  41 116|   0   364k  379k   31k
  15k   38k|  4   4  91   0   0   0   0| 15k| 10   0 1.0| 32  68   0   0   0|152 5.0  41 116|   0   349k  361k   17k
  12k   31k|  4   4  91   0   0   0   0| 12k| 10   0 2.0| 30  70   0   0   0|152 5.0  41 116|   0   408k  420k   22k
  14k   34k|  5   4  91   0   0   0   0| 15k|9.0   0 1.0| 44  56   0   0   0|152 5.0  41 116|   0   359k  364k   16k
  14k   33k|  8   1  90   0   0   0   0| 15k|9.0   0 2.0| 92   8   0   0   0|152 5.0  41 116|   0    39k   38k   22k
  13k   30k|  7   2  91   0   0   0   0| 14k| 10   0 3.0| 72  28   0   0   0|152 5.0  41 116|   0    26k   30k  289k
  10k   22k|  5   3  92   0   0   0   0| 11k| 10   0 7.0| 48  51   0   0   0|152 5.0  41 116|   0    14k   15k  445k
7856    11k|  2   4  93   0   0   0   0|  8k| 10   0 2.0| 19  82   0   0   0|152 5.0  41 116|   0  5196  6642   325k
9935    13k|  4   4  91   0   0   0   0| 10k| 12   0  40| 24  76   0   0   0|152 5.0  41 116|   0    38k   50k  657k
8519    11k|  7   1  92   0   0   0   0|  9k| 10   0 4.0| 99   1   0   0   0|152 5.0  41 116|   0    16k   18k   12k
9416    21k|  4   2  93   0   0   0   0|  9k| 11   0  22| 54  46   0   0   0|152 5.0  41 116|   0   237k  243k   21k
  11k   28k|  3   3  93   0   0   0   0| 12k| 11   0 2.0| 32  68   0   0   0|152 5.0  41 116|   0   322k  332k 6581 
  14k   34k|  5   4  90   0   0   0   0| 16k| 10   0 1.0| 31  69   0   0   0|152 5.0  41 116|   0   446k  463k   37k
  11k   29k|  4   4  92   0   0   0   0| 11k| 11   0 1.0| 29  71   0   0   0|152 5.0  41 116|   0   306k  317k 8982 
  11k   29k|  4   3  93   0   0   0   0| 11k| 11   0 1.0| 34  66   0   0   0|152 5.0  41 116|   0   319k  330k 9924 
  13k   31k|  6   2  92   0   0   0   0| 13k| 11   0 1.0| 60  40   0   0   0|152 5.0  41 116|   0   202k  198k   17k
  14k   36k|  7   1  91   0   0   0   0| 14k| 10   0 2.0| 95   5   0   0   0|152 5.0  41 116|   0    26k   25k   13k
  16k   49k|  7   3  90   0   0   0   0| 16k| 14   0 5.0| 79  21   0   0   0|152 5.0  41 116|   0   182k  161k  341k
  20k   62k|  8   5  87   0   0   0   0| 21k| 13   0 7.0| 51  49   0   0   0|152 5.0  41 116|   0   216k  170k  713k
  12k   28k|  5   4  90   0   0   0   0| 12k| 11   0 1.0| 26  74   0   0   0|152 5.0  41 116|   0    14k   17k  231k
  14k   35k|  5   5  88   0   0   1   0| 15k| 11   0  32| 13  86   1   0   0|155 5.0  41 119|   0    38k   42k  907k
  11k   21k|  7   2  90   0   0   0   0| 11k| 12   0  12| 86  12   0   0   0|155 5.0  41 119|   0    32k   32k 9345 
  11k   26k|  6   2  93   0   0   0   0| 11k| 11   0  24| 70  32   0   0   0|155 5.0  41 119|   0   164k  167k   29k
