---system-- ------total-cpu-usage------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------interrupts------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---procs--- -----cpu2-usage---- ---file-locks-- -----virtual-memory----
 int   csw |usr sys idl wai hiq siq stl| 8    9    14   17   18   24   25   26   27   28   29   30   31   32   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99  100  101  102  NMI  LOC  SPU  PMI  IWI  RTR  RES  CAL  TLB  TRM  THR  DFR  MCE  MCP  PIN  NPI  PIW |run blk new|usr sys idl wai stl|pos lck rea wri|majpf minpf alloc  free
           |                           |    | 15   0    |                   |153 5.0  41 117|                       
6295  6825 |  4   2  94   0   0   0   0|  6k| 14   0  13| 57  42   0   0   0|153 5.0  41 117|   0    16k   28k   93k
6776  7366 |  5   1  93   0   0   0   0|  8k| 13   0 7.0|100   1   0   0   0|153 5.0  41 117|   0    13k   19k   50k
9790    25k|  3   3  94   0   0   0   0| 10k| 15   0  26| 44  56   0   0   0|153 5.0  41 117|   0   259k  266k   24k
  10k   29k|  2   3  94   0   0   0   0| 10k| 13   0 2.0| 30  69   0   0   0|153 5.0  41 117|   0   298k  308k 4028 
  11k   31k|  3   3  94   0   0   0   0| 11k| 14   0 3.0| 31  70   0   0   0|153 5.0  41 117|   0   298k  308k 6682 
  11k   30k|  3   3  94   0   0   0   0| 11k| 15   0 3.0| 37  63   0   0   0|153 5.0  41 117|   0   289k  299k 4522 
  10k   30k|  3   3  94   0   0   0   0| 10k| 13   0 1.0| 31  69   0   0   0|153 5.0  41 117|   0   297k  308k 4285 
  11k   30k|  3   3  94   0   0   0   0| 11k| 12   0 3.0| 31  68   0   0   0|152 5.0  41 116|   0   327k  338k 5087 
  11k   30k|  3   3  94   0   0   0   0| 11k| 13   0 1.0| 38  63   0   0   0|152 5.0  41 116|   0   297k  306k 5366 
  11k   30k|  5   1  94   0   0   0   0| 11k| 18   0 2.0| 78  22   0   0   0|152 5.0  41 116|   0    91k   71k 4882 
9517    29k|  5   1  94   0   0   0   0| 10k| 14   0 1.0| 93   7   0   0   0|152 5.0  41 116|   0    18k   17k 9360 
  10k   28k|  5   1  94   0   0   0   0| 10k| 17   0 1.0| 90  10   0   0   0|152 5.0  41 116|   0  7676  7787    53k
7388    20k|  3   2  94   0   0   0   0|  7k| 14   0 1.0| 50  50   0   0   0|152 5.0  41 116|   0  4007  4351   416k
7664    20k|  3   2  94   0   0   0   0|  8k| 14   0 2.0| 54  46   0   0   0|152 5.0  41 116|   0  4353  4686   397k
8338    16k|  4   4  92   0   0   0   0|  9k| 12   0 6.0| 27  72   0   0   0|154 5.0  41 118|   0    16k   15k  191k
6733  7678 |  1   4  94   0   0   1   0|  7k|9.0   0 1.0| 18  83   0   0   0|153 5.0  41 117|   0  5545  5494   922k
6610  8664 |  3   3  94   0   0   0   0|  7k| 14   0  47| 46  53   0   0   0|153 5.0  41 117|   0    33k   46k  258k
6821  7681 |  6   0  93   0   0   0   0|  7k| 14   0 1.0|100   1   0   0   0|153 5.0  41 117|   0    11k   12k 9941 
8884    21k|  4   2  93   0   0   0   0|  9k| 16   0  32| 58  42   0   0   0|153 5.0  41 117|   0   249k  233k   28k
  11k   31k|  3   3  94   0   0   0   0| 11k| 15   0 1.0| 34  66   0   0   0|153 5.0  41 117|   0   335k  346k 9943 
  11k   31k|  3   3  94   0   0   0   0| 11k| 15   0 2.0| 29  71   0   0   0|153 5.0  41 117|   0   289k  299k 4044 
  11k   32k|  3   3  93   0   0   0   0| 11k| 15   0 2.0| 33  67   0   0   0|153 5.0  41 117|   0   321k  332k 5466 
  11k   31k|  3   3  93   0   0   0   0| 11k| 20   0 1.0| 34  65   0   0   0|153 5.0  41 117|   0   315k  326k 5258 
  10k   31k|  3   3  94   0   0   0   0| 10k| 15   0 2.0| 36  65   0   0   0|153 5.0  41 117|   0   301k  312k 3911 
  11k   32k|  3   3  94   0   0   0   0| 11k| 13   0 2.0| 34  65   0   0   0|154 5.0  41 118|   0   306k  317k 4128 
  11k   32k|  4   2  94   0   0   0   0| 11k| 14   0 2.0| 57  44   0   0   0|155 5.0  41 119|   0   195k  189k 4286 
  11k   30k|  5   1  94   0   0   0   0| 11k| 15   0 4.0| 85  14   0   0   0|153 5.0  41 117|   0    52k   39k 4355 
9870    31k|  5   1  94   0   0   0   0| 10k| 17   0 1.0| 93   8   0   0   0|153 5.0  41 117|   0    13k   13k 4278 
  11k   29k|  5   1  94   0   0   0   0| 11k| 14   0 1.0| 86  13   0   0   0|153 5.0  41 117|   0  3660  4127   102k
7822    22k|  4   2  94   0   0   0   0|  8k| 13   0 1.0| 50  50   0   0   0|153 5.0  41 117|   0  4605  5008   427k
7878    22k|  4   2  94   0   0   0   0|  8k| 14   0 2.0| 57  43   0   0   0|153 5.0  41 117|   0  4702  5165   383k
7220    15k|  3   3  94   0   0   0   0|  7k| 14   0 1.0| 36  65   0   0   0|153 5.0  41 117|   0  4099  5127   199k
6606  7865 |  1   4  94   0   0   0   0|  7k| 15   0 3.0| 12  88   0   0   0|153 5.0  41 117|   0  5088  5917   510k
7439  9839 |  2   4  93   0   0   0   0|  8k| 18   0  41| 11  89   0   0   0|153 5.0  41 117|   0    24k   37k  780k
6690  7433 |  5   1  94   0   0   0   0|  7k| 14   0  10| 94   6   0   0   0|153 5.0  41 117|   0    14k   15k 6876 
6408  7949 |  5   0  94   0   0   0   0|  6k| 21   0 5.0| 99   1   0   0   0|153 5.0  41 117|   0    12k   13k 5416 
  10k   28k|  3   3  94   0   0   0   0| 10k| 17   0  28| 41  59   0   0   0|151 5.0  41 115|   0   263k  270k   25k
  12k   35k|  4   3  93   0   0   0   0| 13k| 15   0 1.0| 34  66   0   0   0|151 5.0  41 115|   0   321k  331k   13k
  11k   32k|  3   3  94   0   0   0   0| 11k| 20   0 1.0| 34  66   0   0   0|151 5.0  41 115|   0   287k  298k 4487 
  11k   33k|  3   3  94   0   0   0   0| 11k| 17   0 2.0| 36  65   0   0   0|151 5.0  41 115|   0   295k  306k 5242 
  11k   32k|  3   3  94   0   0   0   0| 11k| 18   0 3.0| 33  66   0   0   0|151 5.0  41 115|   0   288k  300k 4526 
  11k   32k|  3   3  94   0   0   0   0| 11k| 16   0 2.0| 36  65   0   0   0|151 5.0  41 115|   0   292k  302k 3931 
  11k   32k|  3   3  94   0   0   0   0| 11k| 19   0 2.0| 33  66   0   0   0|151 5.0  41 115|   0   309k  320k 5087 
  11k   33k|  3   3  94   0   0   0   0| 11k| 17   0 1.0| 36  64   0   0   0|152 5.0  41 116|   0   290k  302k 3843 
  12k   33k|  4   2  94   0   0   0   0| 12k| 17   0 1.0| 68  32   0   0   0|152 5.0  41 116|   0   132k  117k 4067 
  10k   32k|  6   2  92   0   0   0   0| 10k| 17   0 2.0| 90  10   0   0   0|152 5.0  41 116|   0    50k   38k 9586 
  11k   33k|  6   1  93   0   0   0   0| 11k| 16   0 7.0| 93   7   0   0   0|153 5.0  41 117|   0    18k   18k 6100 
9449    26k|  4   2  93   0   0   0   0| 10k| 15   0  23| 68  32   0   0   0|153 5.0  41 117|   0    12k   15k  290k
7701    22k|  4   2  94   0   0   0   0|  8k| 18   0 3.0| 52  48   0   0   0|153 5.0  41 117|   0  5087  4475   404k
7960    23k|  4   2  93   0   0   0   0|  8k| 15   0 4.0| 57  43   0   0   0|153 5.0  41 117|   0  6837  6300   375k
7066    12k|  2   4  94   0   0   0   0|  7k| 15   0 4.0| 22  78   0   0   0|153 5.0  41 117|   0  5162  5815   136k
6669  7817 |  1   4  94   0   0   1   0|  7k| 14   0 9.0| 15  85   0   0   0|153 5.0  41 117|   0  4582  5453   661k
7351  8824 |  2   4  94   0   0   0   0|  7k| 18   0  50| 14  85   0   0   0|153 5.0  41 117|   0    28k   45k  726k
6611  7350 |  6   1  94   0   0   0   0|  7k| 16   0 6.0| 98   2   0   0   0|153 5.0  41 117|   0    14k   14k 7000 
6689  7923 |  6   0  94   0   0   0   0|  7k| 16   0 1.0| 99   1   0   0   0|153 5.0  41 117|   0  9968  9528  4684 
9836    28k|  3   3  94   0   0   0   0| 10k| 19   0  32| 43  58   0   0   0|152 5.0  41 116|   0   254k  260k   26k
  11k   34k|  3   3  94   0   0   0   0| 11k| 18   0 1.0| 33  66   0   0   0|152 5.0  41 116|   0   306k  316k 9210 
  11k   34k|  3   3  94   0   0   0   0| 11k| 16   0 2.0| 35  65   0   0   0|152 5.0  41 116|   0   279k  290k 4248 
  11k   33k|  3   3  94   0   0   0   0| 11k| 24   0 3.0| 35  67   0   0   0|152 5.0  41 116|   0   286k  296k 4490 
  11k   33k|  3   3  94   0   0   0   0| 11k| 23   0 1.0| 33  66   0   0   0|152 5.0  41 116|   0   289k  300k 4228 
  11k   34k|  3   3  94   0   0   0   0| 11k| 17   0 1.0| 34  66   0   0   0|152 5.0  41 116|   0   287k  298k 3791 
  12k   35k|  3   3  94   0   0   0   0| 12k| 15   0 1.0| 36  64   0   0   0|152 5.0  41 116|   0   282k  293k 4074 
  12k   35k|  3   3  94   0   0   0   0| 12k| 18   0 9.0| 35  65   0   0   0|152 5.0  41 116|   0   307k  317k 5806 
  11k   34k|  3   3  94   0   0   0   0| 11k| 16   0 2.0| 43  57   0   0   0|152 5.0  41 116|   0   300k  306k 9256 
  12k   34k|  5   1  94   0   0   0   0| 12k| 17   0 2.0| 78  23   0   0   0|152 5.0  41 116|   0   103k   78k 6252 
  11k   34k|  5   1  93   0   0   0   0| 11k| 17   0 3.0| 93   6   0   0   0|153 5.0  41 117|   0    17k   15k 7581 
  11k   37k|  6   1  93   0   0   0   0| 11k| 16   0 2.0| 93   7   0   0   0|153 5.0  41 117|   0    26k   22k 5635 
9664    28k|  5   2  94   0   0   0   0| 10k| 15   0 3.0| 75  25   0   0   0|153 5.0  41 117|   0  4109  4467   196k
7602    23k|  3   3  94   0   0   0   0|  8k| 16   0 1.0| 47  53   0   0   0|153 5.0  41 117|   0  4097  4545   414k
7756    23k|  4   2  94   0   0   0   0|  8k| 17   0 2.0| 57  43   0   0   0|153 5.0  41 117|   0  4218  4527   371k
7746    20k|  3   3  94   0   0   0   0|  8k| 18   0 1.0| 48  52   0   0   0|153 5.0  41 117|   0  4246  5336   294k
6278  7161 |  1   4  94   0   0   0   0|  6k| 17   0 1.0|  5  95   0   0   0|153 5.0  41 117|   0  3523  4178   240k
6492  7838 |  1   4  94   0   0   1   0|  6k| 12   0 2.0| 19  81   0   0   0|153 5.0  41 117|   0  4350  5549  1057k
5294  6814 |  1   1  97   0   0   0   0|  5k|2.0   0 2.0|  2  10  87   0   0|153 5.0  41 117|   0  4022  4396   200k
5804  8635 |  3   1  96   0   0   0   0|  6k|2.0   0 2.0|  2   2  96   0   0|153 5.0  41 117|   0    11k   11k 9584 
4906  6654 |  2   0  97   0   0   0   0|  5k|  0   0 2.0|  1   0  99   0   0|153 5.0  41 117|   0  4076  4425  7738 
5687  7359 |  2   1  96   0   0   0   0|  6k|  0   0 3.0|  0   1  99   0   0|152 5.0  41 116|   0    40k   39k   31k
5445  7221 |  2   1  97   0   0   0   0|  5k|  0   0 1.0|  1   0  99   0   0|152 5.0  41 116|   0  3879  4709  4375 
5645  6935 |  2   1  97   0   0   0   0|  6k|1.0   0 1.0|  2   0  97   0   0|151 5.0  41 115|   0  3766  4138  4108 
5769  7184 |  3   1  96   0   0   0   0|  6k|1.0   0 1.0|  0   1 100   0   0|151 5.0  41 115|   0  9818    10k   24k
5099  6494 |  2   1  97   0   0   0   0|  5k|1.0   0 2.0|  0   0 100   0   0|151 5.0  41 115|   0  4171  4584  4450 
5444  7336 |  2   1  97   0   0   0   0|  6k|2.0   0 3.0|  1   0  99   0   0|151 5.0  41 115|   0  5204  5692  7346 
