---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
7260  8355 |   0    26k   44k   72k
7196  8208 |   0    16k   24k   38k
7664  9890 |   0    12k   13k 9412 
7314  8396 |   0    13k   14k 6921 
  11k   31k|   0   266k  289k   29k
  12k   36k|   0   293k  323k   19k
  13k   36k|   0   280k  311k   12k
  13k   36k|   0   274k  305k 5824 
  14k   39k|   0   281k  314k 9450 
  12k   35k|   0   292k  324k 6101 
  15k   42k|   0   292k  327k   18k
  13k   38k|   0   294k  327k   12k
  13k   36k|   0   279k  311k 9914 
  13k   36k|   0   189k  198k 7660 
  14k   39k|   0   324k  314k   11k
  13k   34k|   0   352k  353k 4649 
  12k   32k|   0   364k  365k 4978 
  13k   34k|   0   376k  377k 3934 
  13k   34k|   0   366k  367k 6868 
  14k   35k|   0   371k  371k   10k
  13k   33k|   0   365k  365k 4431 
  13k   34k|   0   368k  369k 4458 
  14k   36k|   0   472k  475k   18k
  16k   42k|   0   384k  388k   21k
  15k   38k|   0   390k  391k   13k
  14k   36k|   0   410k  411k   12k
  12k   33k|   0   378k  379k 4268 
  13k   34k|   0   339k  339k 4970 
  12k   34k|   0   294k  296k 8288 
  13k   35k|   0   286k  287k 6767 
  12k   33k|   0   277k  278k 5674 
  13k   34k|   0   307k  308k  229k
  13k   34k|   0   133k  170k 1676k
  11k   29k|   0    51k   85k 1281k
  12k   30k|   0    79k  138k 2953k
9110    26k|   0    24k   64k 1557k
8766    24k|   0  9790    45k 1339k
7836    12k|   0  4423    15k  368k
7908    10k|   0  6122  7298   676k
7354  8372 |   0  4504  5831   871k
6396  8420 |   0    12k   12k   12k
9047    10k|   0    77k   86k   96k
  12k   30k|   0    18k   16k   19k
9730    22k|   0    17k   18k   13k
  13k   37k|   0    11k   14k   13k
  10k   21k|   0    12k   14k   13k
  10k   18k|   0  8948    11k 7494 
9020    15k|   0  4760  6107  6559 
8957    18k|   0  6757  8507  8160 
8851    16k|   0  8780    10k   11k
9071    14k|   0    16k   16k   12k
  10k   20k|   0    13k   12k   11k
8045    13k|   0    10k   11k   11k
6978    12k|   0    14k   11k 7190 
6152  8163 |   0  5714  7392  4996 
6415  8190 |   0    11k   12k   15k
6434  8571 |   0  4614  5374  6244 
  11k   29k|   0    11k   14k   17k
8258    13k|   0    13k   16k   21k
6627  9211 |   0  7119  8150  7863 
7971    12k|   0    25k   27k   22k
8200    13k|   0  9091    11k   16k
6099  8636 |   0   139k   72k   72k
6220  8185 |   0  5212  5702  5490 
6908  9741 |   0  7897  9417  9056 
6406  7725 |   0    40k   40k   27k
7737    12k|   0  8790    11k   20k
6023  7716 |   0  4610  4980  4893 
7725    11k|   0  4757  6735  6662 
5960  7380 |   0  4050  4308  4343 
7200  9913 |   0  7070  8975  8849 
6995  9583 |   0  6390  8022  8306 
6513  8234 |   0  4779  5848  5780 
9343    18k|   0  8541  9823    12k
6250  7853 |   0  4236  4617  6408 
7871    12k|   0    16k   19k   19k
7123    11k|   0  6416  7920  7731 
  12k   31k|   0    10k   14k   14k
9747    17k|   0    11k   14k   14k
8455    13k|   0  7271  7316    12k
7551    12k|   0  6028  6736  6417 
7869    13k|   0  5013  6073  5743 
8191    13k|   0  7059  8198  7892 
  11k   23k|   0    39k   39k   28k
7946    13k|   0  4510  5618  5635 
7221    11k|   0  4188  6494    12k
7755    12k|   0  5936  7645  6116 
7883    12k|   0  9780    14k   10k
6401  8593 |   0    13k 7121  6610 
7317    11k|   0  6714  6161  7141 
7363    11k|   0  4344  6326  6740 
6047  7787 |   0  4183  4443  4333 
6821    10k|   0  3669  5449  6288 
  11k   31k|   0  8456    10k   11k
8735    14k|   0  6180  7485  6954 
  11k   25k|   0    19k   19k   14k
  10k   20k|   0  8200    11k   10k
8062    13k|   0  6057    11k 9970 
7926    13k|   0  4840  5743    16k
8434    17k|   0  5646  7024  6949 
8676    15k|   0    15k   17k   15k
7186  9352 |   0    11k   11k   11k
6312  7909 |   0  6680  7541  7665 
7774    12k|   0    32k   34k   23k
6248  8901 |   0  4077  5419  5258 
7902    11k|   0  7374  9039    17k
6174  8370 |   0  4155  4764  5000 
6599  8844 |   0  5084  5497  5296 
5951  7440 |   0  4052  5223  4770 
6329  8036 |   0  3611  4207  4171 
6682  9470 |   0  6026  6601  5668 
8355    11k|   0    17k   19k   18k
7481    11k|   0  6813  8342  7190 
6040  7268 |   0  4256  4941  4740 
6137  7849 |   0  3860  4521  5361 
9645    22k|   0    14k   16k   22k
8466    14k|   0  6607  8261  8920 
9280    14k|   0    17k   19k   20k
8354    14k|   0  5764  7081  7620 
7786    12k|   0  4788  5871  5900 
7294    11k|   0  4579  5626  6945 
7581    13k|   0  4768  5499  5976 
6489  8638 |   0  3702  4323  4172 
8768    14k|   0    16k   18k   16k
7184    10k|   0  4934  6789  7336 
7533    11k|   0  9786    12k 8638 
8806    15k|   0    13k   16k   12k
  12k   22k|   7    52k   46k   31k
8647    13k|   7    22k   18k   15k
7925  9792 |   0    16k   14k   16k
7022  9229 |   0  4460  5124  5346 
  11k   28k|   0  9013    11k 9327 
  12k   39k|   0  3865  6717  7002 
7189    10k|   0  3822  4585  4507 
7826    13k|   0  3658  4833  4718 
8604    16k|   0  4113  5551  5381 
7378    12k|   0  3677  4827  5230 
6551  9003 |   0  3482  4792  4622 
  10k   31k|   0  4338  7013  8369 
9012    15k|   0  5618  5751    24k
  14k   42k|   0    26k   26k   16k
  16k   36k|   8    33k   26k   21k
  15k   36k|   0  8775    11k   10k
9808    18k|   0    11k   11k   11k
  11k   19k|   0  7826    10k   14k
9917    17k|   0  5562  7011  7001 
8838    15k|   0    18k   15k 7250 
7092    11k|   0  4191  5052  5124 
8791    15k|   0  6036  7476  7907 
9980    17k|   0    21k   21k   19k
7658    11k|   0  8736    11k   14k
7438    11k|   0  4045  5927  6800 
6301  8201 |   0  3565  4297  4282 
7369    10k|   0  3987  5312  7288 
6791  9503 |   0  4994  6263  8946 
6894    10k|   0  7585  6171  5843 
5901  7258 |   0  4240  4901  5487 
6606  9337 |   0    11k   12k   11k
6489  8533 |   0  5607  7054  5402 
6847  9774 |   0  4425  6064  6051 
9464    27k|   0  4619  7632  8587 
  11k   21k|   0    20k   23k   21k
7198    10k|   0    22k   22k   12k
7340    11k|   0  7738  8932  9235 
6096    10k|   0  8047  9039  7858 
7027    10k|   0  6958  8918  8818 
7102  9948 |   0  7252  9405  6173 
6432  8502 |   0  7215  8243    14k
6693  9458 |   0  7243  8479  8376 
6507  8652 |   0  5076  6134  5845 
7954    11k|   0  8947  9914  8892 
  11k   14k|   0    94k   32k   62k
6890  9489 |   0  6625  7247  7209 
5876  7450 |   0  9479  9929    13k
7242    11k|   0  5600  8068  8165 
7206    11k|   0  4735  6758  6609 
6851  8725 |   0  6985  5563  8431 
7632    11k|   0    11k   13k   16k
7251    10k|   0  4007  5998  5863 
6456  8982 |   0  4534  5136  4982 
6307  8879 |   0  3776  4485  4414 
6751  9361 |   0  6903  8657  6853 
9550    12k|   0    11k   10k 9571 
6081  7702 |   0  4386  4851  5327 
7183    10k|   0  7061  9078  8998 
5878  7564 |   0    10k   11k   12k
7106    10k|   0  7164  9329    11k
6982  9704 |   0  6971  7398    20k
7026    11k|   0    16k   17k 8716 
6468  8588 |   0  3911  4662  4576 
5946  7914 |   0  3743  4356  4450 
6512  8420 |   0  6138  6996  6934 
6245  8148 |   0  4280  5195  5368 
6664  9083 |   0  5849  5840  7442 
7745    12k|   0  9467    13k   13k
6320  9089 |   0  4395  5215  4527 
5912  7589 |   0  3864  4634  4557 
7033    10k|   0  8321    10k 9835 
7250    10k|   0  7169  9252  9251 
6623  8678 |   0  3923  4554  4509 
6490  8359 |   0  4674  4899    11k
6253  8480 |   0  3862  4640  4525 
7706    10k|   0  8306    10k   10k
6778    10k|   0  4133  5064  5145 
6610  9431 |   0  5936  7645  7663 
6559  8883 |   0    11k   13k   13k
6184  7777 |   0  5346  5858  4205 
  17k   22k|   0    20k   24k   19k
6983  9689 |   0  4512  4182  4240 
7605    11k|   0  5041  5720  5614 
6903  9729 |   0  3732  4342  4346 
6837  9168 |   0  3886  4484  5272 
6856  9469 |   0  5394  4902  4638 
6570  8665 |   0  4019  4385  4437 
6632  9429 |   0  3886  4358  4471 
6882  9277 |   0  2196  3593    14k
6273  7851 |   0  3978  4451  4314 
6237  7836 |   0  3594  4112  4106 
6755  9706 |   0  5372  6786  7722 
8876    16k|   0  4091  4926  4584 
7961    14k|   0  3892  4455  4546 
8054    13k|   0    11k 9971  9962 
8091    15k|   0  6864  7619  7575 
  20k   19k|   0  6012  7007    15k
7834    13k|   0  3697  4484  4388 
6752  9608 |   0  3927  4638  4675 
6746  9684 |   0  5124  6758  6673 
6740  9155 |   0  6844  6664  5464 
7277    10k|   0  4021  6132  6025 
8585    14k|   0  7476    10k 9815 
7007    10k|   0  3914  4516  4405 
8202    12k|   0    14k   15k   14k
7266  9570 |   0    42k   18k   15k
7384    11k|   0  7672  9665  9375 
6519  8986 |   0  5983  6538  6090 
6440  9103 |   0  4516  5244  5212 
7043  9093 |   0    13k   14k   22k
7561    11k|   0  4669  6456  5666 
6184  7380 |   0  3747  4388  4551 
6048  7679 |   0  4299  5146  5272 
7250    10k|   0  3765  5683  6997 
7621    10k|   0    11k   12k   13k
7361    11k|   0  4220  5820  5716 
6178  8125 |   0  4093  5042  4962 
6021  8079 |   0  4165  4818  4609 
6583  8804 |   0  3673  4425  4464 
