---system-- ------total-cpu-usage------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------interrupts------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---procs--- -----cpu2-usage---- ---file-locks-- -----virtual-memory----
 int   csw |usr sys idl wai hiq siq stl| 8    9    14   17   18   24   25   26   27   28   29   30   31   32   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99  100  101  102  NMI  LOC  SPU  PMI  IWI  RTR  RES  CAL  TLB  TRM  THR  DFR  MCE  MCP  PIN  NPI  PIW |run blk new|usr sys idl wai stl|pos lck rea wri|majpf minpf alloc  free
           |                           |    | 11   0    |                   |153 5.0  41 117|                       
  11k   20k|  7   2  90   0   0   0   0| 11k| 10   0  10| 73  27   0   0   0|153 5.0  41 117|   0    32k   43k   34k
  13k   33k|  8   2  90   0   0   0   0| 14k| 10   0 5.5| 99   0   0   0   0|153 5.0  41 117|   0    24k   32k   26k
  14k   36k|  6   3  90   0   0   0   0| 15k| 11   0  20| 47  54   0   0   0|153 5.0  41 117|   0   283k  308k   29k
  17k   62k|  6   4  89   0   0   0   0| 18k| 12   0 2.0| 29  71   0   0   0|153 5.0  41 117|   0   370k  410k   18k
  14k   36k|  5   4  91   0   0   0   0| 14k| 11   0 1.0| 28  72   0   0   0|153 5.0  41 117|   0   317k  352k   19k
  18k   65k|  6   4  89   0   0   0   0| 18k| 12   0 4.0| 29  71   0   0   0|152 5.0  41 116|   0   320k  358k   32k
  16k   45k|  5   4  90   0   0   0   0| 17k| 10   0 4.0| 31  68   0   0   0|152 5.0  41 116|   0   391k  430k   43k
  16k   47k|  6   3  91   0   0   0   0| 16k| 10   0 2.0| 63  38   0   0   0|152 5.0  41 116|   0   201k  198k   13k
  17k   50k|  5   4  91   0   0   0   0| 17k| 11   0 1.0| 32  67   0   0   0|152 5.0  41 116|   0   411k  413k 9124 
  14k   38k|  5   4  91   0   0   0   0| 14k| 15   0 2.0| 35  66   0   0   0|152 5.0  41 116|   0   514k  515k   40k
  17k   50k|  5   4  90   0   0   0   0| 17k|9.0   0 1.0| 36  64   0   0   0|152 5.0  41 116|   0   394k  396k   13k
  16k   47k|  5   3  91   0   0   0   0| 16k| 10   0 1.0| 36  63   0   0   0|152 5.0  41 116|   0   451k  453k   23k
  16k   39k|  5   4  91   0   0   0   0| 16k|9.0   0 1.0| 35  65   0   0   0|152 5.0  41 116|   0   407k  410k   10k
