---system-- ------total-cpu-usage------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------interrupts------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---procs--- -----cpu2-usage---- ---file-locks-- -----virtual-memory----
 int   csw |usr sys idl wai hiq siq stl| 8    9    14   17   18   24   25   26   27   28   29   30   31   32   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99  100  101  102  NMI  LOC  SPU  PMI  IWI  RTR  RES  CAL  TLB  TRM  THR  DFR  MCE  MCP  PIN  NPI  PIW |run blk new|usr sys idl wai stl|pos lck rea wri|majpf minpf alloc  free
           |                           |    |2.0   0    |                   |152 5.0  41 116|                       
7012  9606 |  4   2  94   0   0   0   0|  7k|2.0   0 5.0| 63  37   0   0   0|152 5.0  41 116|   0   206k  223k   10k
7638    12k|  4   3  93   0   0   0   0|  8k|3.0   0 4.0| 39  62   0   0   0|152 5.0  41 116|   0   284k  300k   10k
7468    12k|  3   3  94   0   0   0   0|  8k|3.0   0 3.0| 32  67   0   0   0|152 5.0  41 116|   0   420k  420k 4449 
7965    12k|  3   3  94   0   0   0   0|  8k|2.0   0 2.0| 40  60   0   0   0|152 5.0  41 116|   0   272k  282k  369k
7854    11k|  3   3  94   0   0   0   0|  8k|3.0   0  16| 28  69   3   0   0|152 5.0  41 116|   0    17k   36k  934k
7003  9226 |  4   1  94   0   0   0   0|  7k|3.0   0 8.0| 77  24   0   0   0|152 5.0  41 116|   0   116k  125k   10k
8347    16k|  2   3  94   0   0   0   0|  8k|4.0   0 1.0| 25  74   0   0   0|152 5.0  41 116|   0   334k  367k 5049 
7836    14k|  3   3  94   0   0   0   0|  8k|3.0   0 1.0| 42  58   0   0   0|152 5.0  41 116|   0   317k  326k 3866 
8306    15k|  3   3  93   0   0   0   0|  8k|3.0   0 4.0| 30  71   0   0   0|152 5.0  41 116|   0   426k  427k 5657 
7873    15k|  3   3  94   0   0   0   0|  8k|3.0   0 1.0| 33  66   0   0   0|152 5.0  41 116|   0   415k  415k 3998 
7766    14k|  3   3  94   0   0   0   0|  8k|3.0   0 1.0| 45  55   0   0   0|152 5.0  41 116|   0   261k  269k  304k
8231    12k|  3   3  94   0   0   0   0|  8k|3.0   0 2.0| 34  67   0   0   0|151 5.0  41 115|   0  8742    43k 1349k
7095  8874 |  4   2  93   0   0   0   0|  7k|6.0   0  18| 61  39   0   0   0|151 5.0  41 115|   0    18k   19k  311k
7464    13k|  4   2  93   0   0   0   0|  8k|4.0   0  10| 52  48   0   0   0|151 5.0  41 115|   0   221k  242k   13k
8213    16k|  3   5  92   0   0   0   0|  8k|4.0   0 3.0| 24  75   0   0   0|151 5.0  41 115|   0   515k  566k   11k
9454    17k|  4   3  93   0   0   0   0| 10k|4.0   0 7.0| 46  54   0   0   0|152 5.0  41 116|   0   317k  316k 4228 
9229    17k|  3   4  93   0   0   0   0| 10k|4.0   0  23| 32  68   0   0   0|152 5.0  41 116|   0   491k  495k   11k
8910    17k|  3   3  94   0   0   0   0|  9k|4.0   0 3.0| 31  69   0   0   0|152 5.0  41 116|   0   418k  417k 4684 
9086    17k|  3   3  93   0   0   0   0| 10k|4.0   0 3.0| 34  66   0   0   0|152 5.0  41 116|   0   430k  431k   11k
8043    15k|  3   3  94   0   0   0   0|  8k|5.0   0 3.0| 47  54   0   0   0|152 5.0  41 116|   0   123k  144k  801k
7904    13k|  3   3  93   0   0   0   0|  8k|4.0   0  11| 30  69   0   0   0|152 5.0  41 116|   0    10k   45k 1392k
7123  8887 |  3   3  93   0   0   0   0|  7k|5.0   0  23| 48  50   2   0   0|152 5.0  41 116|   0    21k   23k  414k
6718  8862 |  5   1  94   0   0   0   0|  7k|5.0   0  12| 89  11   0   0   0|152 5.0  41 116|   0    62k   66k   14k
8103    18k|  2   4  94   0   0   0   0|  8k|5.0   0 2.0| 26  74   0   0   0|152 5.0  41 116|   0   327k  360k 4438 
8020    18k|  2   3  94   0   0   0   0|  8k|5.0   0 1.0| 27  72   0   0   0|152 5.0  41 116|   0   325k  359k 4205 
8719    18k|  3   3  94   0   0   0   0|  9k|5.0   0 2.0| 47  54   0   0   0|152 5.0  41 116|   0   249k  266k 4181 
9144    18k|  3   3  94   0   0   0   0|  9k|5.0   0 3.0| 33  66   0   0   0|152 5.0  41 116|   0   394k  394k 4397 
  10k   21k|  3   4  93   0   0   0   0| 11k|5.0   0 3.0| 31  69   0   0   0|152 5.0  41 116|   0   420k  419k 7453 
8998    18k|  3   3  94   0   0   0   0|  9k|5.0   0 1.0| 36  65   0   0   0|152 5.0  41 116|   0   415k  415k 4387 
9705    20k|  3   3  94   0   0   0   0| 10k|5.0 1.0 1.0| 30  69   0   0   0|153 5.0  41 117|   0   410k  410k 4643 
9048    19k|  3   3  94   0   0   0   0|  9k|5.0   0 1.0| 42  58   0   0   0|152 5.0  41 116|   0   353k  353k 4129 
9089    17k|  3   3  94   0   0   0   0|  9k|5.0   0 1.0| 45  56   0   0   0|152 5.0  41 116|   0   161k  178k  650k
9927    17k|  3   3  93   0   0   0   0| 11k|5.0   0 2.0| 35  64   0   0   0|152 5.0  41 116|   0    18k   60k 1598k
7724    10k|  2   4  94   0   0   0   0|  8k|6.0   0 3.0| 21  81   0   0   0|153 5.0  41 117|   0  7174    21k  790k
7119  8556 |  5   2  94   0   0   0   0|  7k|6.0   0  26| 72  26   2   0   0|153 5.0  41 117|   0    23k   26k  229k
6568  9050 |  5   1  94   0   0   0   0|  7k|9.0   0  13| 88  12   0   0   0|153 5.0  41 117|   0    71k   75k   16k
8502    20k|  3   4  94   0   0   0   0|  9k|7.0   0 3.0| 29  71   0   0   0|153 5.0  41 117|   0   329k  362k 4568 
8557    20k|  3   3  94   0   0   0   0|  9k|6.0   0 1.0| 30  70   0   0   0|153 5.0  41 117|   0   320k  354k 4846 
8613    20k|  2   3  94   0   0   0   0|  9k|6.0   0 2.0| 28  72   0   0   0|153 5.0  41 117|   0   319k  353k 4449 
9520    21k|  4   2  94   0   0   0   0| 10k|6.0   0 1.0| 54  46   0   0   0|153 5.0  41 117|   0   242k  244k 4421 
  10k   22k|  3   3  94   0   0   0   0| 10k|6.0   0 1.0| 35  65   0   0   0|153 5.0  41 117|   0   397k  397k 4308 
9818    21k|  3   3  94   0   0   0   0| 10k|7.0   0 1.0| 31  69   0   0   0|153 5.0  41 117|   0   395k  395k 4160 
9642    21k|  3   3  94   0   0   0   0| 10k|6.0   0 3.0| 32  68   0   0   0|153 5.0  41 117|   0   407k  407k 4404 
9889    21k|  3   3  94   0   0   0   0| 10k|6.0   0 2.0| 35  65   0   0   0|153 5.0  41 117|   0   417k  418k 5411 
9536    20k|  3   3  94   0   0   0   0| 10k|6.0   0 1.0| 31  69   0   0   0|153 5.0  41 117|   0   401k  402k 4278 
9541    20k|  3   2  94   0   0   0   0| 10k|7.0   0 2.0| 52  48   0   0   0|153 5.0  41 117|   0   298k  298k 4925 
9393    19k|  3   3  94   0   0   0   0|  9k|6.0   0 1.0| 47  53   0   0   0|151 5.0  41 115|   0   133k  154k  865k
8917    17k|  3   3  94   0   0   0   0|  9k|6.0   0 1.0| 40  60   0   0   0|151 5.0  41 115|   0    20k   58k 1485k
