---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
7051  9596 |   0  9141  9476  5449 
  11k   30k|   0   193k  204k   12k
  29k   90k|   0   403k  428k 8662 
  12k   33k|   0   378k  403k 7050 
 237   816 |   0   804k  857k   11k
  16k   51k|   0   366k  391k 6751 
  16k   56k|   0   449k  478k 8411 
  19k   67k|   0   335k  337k   15k
  14k   35k|   0   126k  109k  323k
  16k   32k|   0   118k  109k  402k
  10k   20k|   0    78k   93k  323k
9613    20k|   0    70k   84k  316k
9522    18k|   0    70k   84k  317k
  11k   18k|   0    79k   93k  350k
  29k   74k|   0    88k  104k  457k
 605   966 |   0  7147    10k 1596k
  20k   47k|   1    97k  110k  577k
  24k   15k|   0    62k   59k   63k
  12k   24k|   0    25k   27k   35k
  13k   30k|   0   388k  407k   23k
  12k   28k|   0   522k  553k   12k
  13k   28k|   0   389k  412k   11k
  13k   31k|   0   413k  440k   24k
  15k   37k|   0   345k  369k 8398 
  17k   49k|   0   368k  392k 9554 
  23k   63k|   0   534k  558k   62k
  15k   36k|   0   115k  110k  153k
  11k   23k|   0    72k   87k  321k
  11k   25k|   0    80k   97k  333k
  19k   34k|   0   116k  138k  425k
  17k   46k|   0   157k  166k  478k
  14k   35k|   0    95k  106k  356k
  26k   53k|   1   159k  189k  538k
  11k   25k|   0    72k   81k  349k
8727    11k|   0    12k   13k  381k
9785    13k|   0    53k   63k  691k
  12k   18k|   0    10k   11k 6405 
1751  2214 |   0    27k   28k   39k
8032  9411 |   0    10k 9830  6777 
  12k   25k|   0   288k  304k   41k
  13k   31k|   0   355k  378k 7555 
  16k   41k|   0   344k  369k 9105 
  13k   31k|   0   332k  354k 6506 
  16k   42k|   0   418k  444k   33k
  14k   34k|   0   334k  356k 8448 
  13k   30k|   0   390k  414k   21k
  16k   41k|   0   338k  360k 6789 
  15k   39k|   0   344k  367k 6574 
  13k   31k|   0   175k  165k 7446 
  15k   48k|   0    84k   92k  268k
  24k   64k|   0   102k  127k  394k
  18k   67k|   0    99k  117k  396k
5119    14k|   0   126k  148k  437k
  12k   26k|   0    77k   92k  315k
  13k   29k|   0   131k  149k  399k
  12k   26k|   0    78k   94k  334k
  12k   25k|   0    77k   95k  365k
9642    21k|   0    57k   71k  298k
  12k   20k|   0    65k   72k  335k
  10k   12k|   0    21k   28k  911k
  13k   17k|   0    75k   81k   64k
  10k   13k|   0  8199  9841    10k
  10k   14k|   0    46k   49k   50k
9700    14k|   0    56k   59k   15k
  16k   48k|   0   334k  354k   22k
  18k   39k|   0   419k  448k   16k
  14k   33k|   0   354k  375k 9418 
  15k   32k|   0   345k  369k 9710 
  16k   34k|   0   333k  353k   13k
  16k   33k|   0   411k  393k   21k
  17k   33k|   0   361k  383k   32k
  19k   53k|   0   357k  382k   11k
  18k   47k|   0   333k  356k 8036 
  25k   69k|   0   224k  222k   43k
1459  3177 |   0    81k   97k  353k
  12k   29k|   0   144k  164k  397k
  11k   24k|   0    66k   81k  302k
  11k   25k|   0   103k  121k  353k
  13k   27k|   0    94k  116k  384k
  12k   24k|   0    79k   94k  347k
  10k   23k|   0   102k  124k  460k
  12k   26k|   0   152k  174k  459k
  10k   23k|   0    69k   85k  345k
  10k   23k|   0    56k   69k  277k
9757    18k|   0    34k   44k  188k
9740    14k|   0  4870  6288   600k
9628    12k|   0    39k   51k  648k
9621    13k|   0    15k   15k 9703 
  11k   14k|   0    43k   44k   29k
  11k   18k|   0    35k   38k   41k
  13k   17k|   0    79k   71k   40k
  20k   39k|   0   388k  405k   53k
  17k   37k|   0   404k  433k   23k
  13k   33k|   0   325k  347k 6647 
  15k   35k|   0   389k  414k   25k
  18k   55k|   0   324k  348k 6360 
  16k   39k|   0   333k  357k   10k
  16k   38k|   0   363k  385k   29k
  12k   30k|   0   354k  378k 7548 
