---system-- ------total-cpu-usage------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------interrupts------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---procs--- -----cpu2-usage---- ---file-locks-- -----virtual-memory----
 int   csw |usr sys idl wai hiq siq stl| 8    9    14   17   18   24   25   26   27   28   29   30   31   32   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99  100  101  102  NMI  LOC  SPU  PMI  IWI  RTR  RES  CAL  TLB  TRM  THR  DFR  MCE  MCP  PIN  NPI  PIW |run blk new|usr sys idl wai stl|pos lck rea wri|majpf minpf alloc  free
           |                           |    | 15   0    |                   |155 5.0  41 119|                       
  18k   39k| 11   2  86   0   0   0   0| 20k| 12   0  16| 86  13   0   0   0|156 5.0  41 120|   1    71k   85k   39k
  21k   27k|  9   2  88   0   0   0   0| 39k| 10   0  21| 99   1   0   0   0|156 5.0  41 120|   1    68k   73k   57k
  14k   33k|  8   2  90   0   0   0   0| 14k| 10   0  20| 76  24   0   0   0|156 5.0  41 120|   0   138k  144k   36k
  11k   27k|  4   5  91   0   0   0   0| 11k| 12   0 3.0| 23  77   0   0   0|156 5.0  41 120|   0   561k  593k   14k
  13k   30k|  3   4  92   0   0   0   0| 13k|9.0   0 1.0| 25  75   0   0   0|155 5.0  41 119|   0   353k  375k 6937 
  12k   27k|  4   4  93   0   0   0   0| 13k| 12   0 2.0| 28  72   0   0   0|155 5.0  41 119|   0   393k  417k   12k
  15k   36k|  5   4  90   0   0   0   0| 15k| 10   0 1.0| 24  76   0   0   0|155 5.0  41 119|   0   411k  440k   25k
  14k   39k|  4   4  92   0   0   0   0| 14k| 11   0 2.0| 27  73   0   0   0|155 5.0  41 119|   0   362k  386k 7135 
  16k   45k|  5   4  91   0   0   0   0| 17k|9.0   0 1.0| 28  72   0   0   0|155 5.0  41 119|   0   350k  373k 8782 
  23k   64k|  9   4  86   0   0   0   0| 26k| 10   0 1.0| 45  55   0   0   0|155 5.0  41 119|   0   472k  480k   73k
  14k   31k|  7   2  91   0   0   0   0| 14k|9.0   0 2.0| 68  32   0   0   0|155 5.0  41 119|   0    81k   89k  256k
  10k   23k|  5   2  92   0   0   0   0| 10k|9.0   0 3.0| 65  35   0   0   0|155 5.0  41 119|   0    73k   89k  327k
  12k   25k|  6   2  91   0   0   0   0| 13k|9.0   0 7.0| 68  32   0   0   0|156 5.0  41 120|   0    81k   98k  331k
  23k   49k|  9   4  87   0   0   0   0| 30k| 13   0  25| 64  36   0   0   0|156 5.0  41 120|   0   180k  199k  547k
  13k   32k|  7   2  90   0   0   0   0| 13k|9.0   0 3.0| 68  32   0   0   0|156 5.0  41 120|   0    91k  102k  349k
  18k   52k| 10   3  87   0   0   0   0| 20k| 12 1.0  25| 66  34   0   0   0|157 5.0  41 121|   1   144k  160k  469k
  21k   34k|  6   3  90   0   0   0   0| 29k| 10   0  24| 67  34   0   0   0|158 5.0  41 122|   0   112k  137k  458k
  11k   24k|  5   3  92   0   0   0   0| 12k|9.0   0 9.0| 50  50   0   0   0|158 5.0  41 122|   0    51k   56k  228k
8601    10k|  2   5  92   0   0   1   0|  9k| 14   0  27| 14  85   0   0   0|158 5.0  41 122|   0    19k   18k  889k
8853    11k|  6   2  91   0   0   0   0|  9k| 10   0  13| 76  24   0   0   0|157 5.0  41 121|   0    43k   54k  154k
9762    14k|  6   0  93   0   0   0   0|  7k| 13   0 0.7| 99   1   0   0   0|156 5.0  41 120|   0    10k   11k 7650 
4695  5688 |  6   1  93   0   0   0   0|  9k| 10   0 1.9|100   2   0   0   0|156 5.0  41 120|   0    16k   17k   17k
8630    12k|  5   1  93   0   0   0   0|  9k| 12   0  22| 85  14   0   0   0|156 5.0  41 120|   0    76k   78k   16k
  14k   31k|  4   4  92   0   0   0   0| 14k| 11   0 2.0| 26  74   0   0   0|156 5.0  41 120|   0   346k  368k   32k
  13k   30k|  4   4  92   0   0   0   0| 13k| 14   0 3.0| 27  73   0   0   0|156 5.0  41 120|   0   350k  372k 7275 
  15k   39k|  4   4  91   0   0   0   0| 15k| 10   0 3.0| 26  75   0   0   0|156 5.0  41 120|   0   343k  367k   10k
  14k   37k|  4   4  92   0   0   0   0| 14k| 13   0 1.0| 25  74   0   0   0|156 5.0  41 120|   0   401k  425k   28k
  16k   38k|  4   4  92   0   0   0   0| 16k| 10   0 2.0| 29  72   0   0   0|154 5.0  41 118|   0   352k  375k   15k
  14k   34k|  4   4  92   0   0   0   0| 14k| 10   0 1.0| 25  74   0   0   0|154 5.0  41 118|   0   381k  405k 6307 
  13k   32k|  3   4  92   0   0   0   0| 13k| 10   0 3.0| 26  74   0   0   0|154 5.0  41 118|   0   344k  367k   21k
  15k   37k|  4   4  92   0   0   0   0| 15k| 12   0 1.0| 27  73   0   0   0|154 5.0  41 118|   0   342k  365k 6427 
  15k   40k|  4   3  92   0   0   0   0| 16k| 10   0 1.0| 36  64   0   0   0|154 5.0  41 118|   0   306k  322k 6948 
  14k   45k|  6   2  91   0   0   0   0| 14k| 11   0 3.0| 71  30   0   0   0|154 5.0  41 118|   0   120k  109k   77k
  12k   30k|  6   2  92   0   0   0   0| 12k| 10   0 1.0| 67  32   0   0   0|154 5.0  41 118|   0    73k   85k  309k
  20k   56k|  8   3  88   0   0   0   0| 19k| 14   0 2.6| 68  32   0   0   0|156 5.0  41 120|   0   112k  139k  420k
  18k   67k|  7   3  90   0   0   0   0| 16k| 12   0 3.5| 67  33   0   0   0|157 5.0  41 121|   0    99k  117k  396k
  10k   25k|  8   3  89   0   0   0   0| 15k| 10   0  10| 67  31   0   0   0|157 5.0  41 121|   0   111k  130k  381k
  11k   23k|  5   2  92   0   0   0   0| 11k| 14   0 1.0| 68  32   0   0   0|158 5.0  41 122|   0    68k   82k  310k
  13k   29k|  7   2  90   0   0   0   0| 14k| 10   0 3.0| 68  32   0   0   0|158 5.0  41 122|   0   133k  151k  405k
  12k   29k|  6   2  91   0   0   0   0| 13k| 11   0 2.0| 68  32   0   0   0|158 5.0  41 122|   0    76k   92k  329k
  11k   23k|  6   2  92   0   0   0   0| 12k| 11   0 3.0| 72  28   0   0   0|158 5.0  41 122|   0    74k   90k  360k
  11k   23k|  6   3  91   0   0   0   0| 12k| 11   0 3.0| 56  44   0   0   0|158 5.0  41 122|   0    94k  109k  293k
  10k   15k|  3   4  91   0   0   1   0| 10k| 10   0 3.0| 14  86   0   0   0|157 5.0  41 121|   0  9914    11k  579k
  10k   13k|  4   4  92   0   0   0   0| 10k| 12   0  39| 31  68   1   0   0|157 5.0  41 121|   0    49k   60k  571k
  12k   16k|  8   1  91   0   0   0   0| 14k| 12   0 3.0| 99   1   0   0   0|157 5.0  41 121|   0    46k   51k   58k
9647    13k|  7   1  92   0   0   0   0| 10k| 11   0 1.0|100   0   0   0   0|157 5.0  41 121|   0  4500  5440  5885 
  10k   13k|  7   1  92   0   0   0   0| 11k| 12   0 1.0| 99   2   0   0   0|157 5.0  41 121|   0    47k   51k   49k
  13k   32k|  6   2  91   0   0   0   0| 13k| 13   0  32| 68  32   0   0   0|157 5.0  41 121|   0   181k  191k   26k
  17k   41k|  4   5  91   0   0   0   0| 17k| 14   0  28| 25  75   0   0   0|155 5.0  41 119|   0   407k  437k   17k
  17k   36k|  5   4  91   0   0   0   0| 19k| 14   0  16| 25  75   0   0   0|154 5.0  41 118|   0   347k  367k   10k
  14k   32k|  3   4  92   0   0   0   0| 14k| 11   0 8.0| 26  74   0   0   0|154 5.0  41 118|   0   347k  369k 7821 
  15k   32k|  3   4  93   0   0   0   0| 15k| 12   0  11| 25  75   0   0   0|154 5.0  41 118|   0   344k  368k 9377 
  16k   35k|  3   4  92   0   0   0   0| 16k| 11   0  14| 26  74   0   0   0|154 5.0  41 118|   0   337k  358k   14k
  15k   32k|  3   4  93   0   0   0   0| 15k| 13   0 1.0| 28  71   0   0   0|154 5.0  41 118|   0   409k  391k   20k
  17k   34k|  4   4  92   0   0   0   0| 20k| 11   0  10| 27  74   0   0   0|154 5.0  41 118|   0   368k  391k   35k
  19k   55k|  5   4  90   0   0   0   0| 20k| 11   0 4.0| 27  73   0   0   0|154 5.0  41 118|   0   348k  371k 8375 
  19k   51k|  5   4  90   0   0   0   0| 19k| 12   0 2.0| 26  73   0   0   0|154 5.0  41 118|   0   367k  392k 8297 
  18k   50k|  5   2  93   0   0   0   0| 12k| 13   0 2.7| 60  40   0   0   0|154 5.0  41 118|   0   178k  169k   53k
5132    11k|  5   2  93   0   0   0   0| 10k| 22   0 2.0| 71  30   0   0   0|154 5.0  41 118|   0    69k   83k  317k
  12k   30k|  6   2  91   0   0   0   0| 12k| 11   0 3.0| 65  34   0   0   0|154 5.0  41 118|   0   143k  163k  395k
  11k   24k|  5   2  92   0   0   0   0| 11k| 19   0 2.0| 66  34   0   0   0|154 5.0  41 118|   0    66k   80k  299k
  13k   29k|  7   2  91   0   0   0   0| 15k| 13   0 4.0| 66  34   0   0   0|154 5.0  41 118|   0   131k  154k  438k
