---system-- ------total-cpu-usage------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------interrupts------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---procs--- -----cpu2-usage---- ---file-locks-- -----virtual-memory----
 int   csw |usr sys idl wai hiq siq stl| 8    9    14   17   18   24   25   26   27   28   29   30   31   32   40   41   42   43   44   45   46   47   48   49   50   51   52   53   54   55   56   57   58   59   60   61   62   63   64   65   66   67   68   69   70   71   72   73   74   75   76   77   78   79   80   81   82   83   84   85   86   87   88   89   90   91   92   93   94   95   96   97   98   99  100  101  102  NMI  LOC  SPU  PMI  IWI  RTR  RES  CAL  TLB  TRM  THR  DFR  MCE  MCP  PIN  NPI  PIW |run blk new|usr sys idl wai stl|pos lck rea wri|majpf minpf alloc  free
           |                           |    | 14   0    |                   |151 5.0  41 115|                       
6870  7258 |  4   2  94   0   0   0   0|  7k| 14   0  16| 55  45   0   0   0|151 5.0  41 115|   0    25k   41k   11k
6907  7777 |  5   1  93   0   0   0   0|  7k| 14   0 9.0| 98   2   0   0   0|151 5.0  41 115|   0    19k   27k 7870 
6579  7452 |  6   1  94   0   0   0   0|  7k| 14   0 1.0| 99   1   0   0   0|151 5.0  41 115|   0  5383  5933  3997 
6750  7484 |  6   0  94   0   0   0   0|  7k| 14   0 1.0|100   0   0   0   0|151 5.0  41 115|   0  4473  5066  4412 
6770  7856 |  6   1  93   0   0   0   0|  7k| 14   0 2.0| 99   1   0   0   0|151 5.0  41 115|   0  9906    10k 4442 
6656  7473 |  6   1  94   0   0   0   0|  7k| 21   0  11| 97   3   0   0   0|151 5.0  41 115|   0    17k   17k 5032 
  12k   31k|  4   5  92   0   0   0   0| 12k| 16   0  25| 26  74   0   0   0|153 5.0  41 117|   0   512k  539k   31k
  13k   32k|  3   4  93   0   0   0   0| 13k| 26   0  26| 25  75   0   0   0|153 5.0  41 117|   0   371k  399k 7148 
  13k   33k|  3   4  93   0   0   0   0| 13k| 14   0 2.0| 26  74   0   0   0|153 5.0  41 117|   0   338k  358k 8294 
  13k   35k|  3   4  93   0   0   0   0| 14k| 15   0 3.0| 28  72   0   0   0|153 5.0  41 117|   0   346k  368k   11k
  12k   32k|  3   3  93   0   0   0   0| 12k| 19   0 2.0| 30  70   0   0   0|153 5.0  41 117|   0   319k  340k 4644 
  12k   33k|  3   3  93   0   0   0   0| 13k| 16   0  10| 30  70   0   0   0|153 5.0  41 117|   0   325k  346k 4758 
  12k   32k|  3   4  93   0   0   0   0| 12k| 15   0 3.0| 29  71   0   0   0|153 5.0  41 117|   0   345k  368k 6678 
  13k   34k|  3   4  93   0   0   0   0| 13k| 16   0 7.0| 27  73   0   0   0|153 5.0  41 117|   0   359k  379k 7649 
  15k   39k|  4   4  92   0   0   0   0| 17k| 14   0 7.0| 27  73   0   0   0|154 5.0  41 118|   0   431k  456k   28k
  13k   32k|  3   3  93   0   0   0   0| 13k| 16   0 2.0| 27  73   0   0   0|154 5.0  41 118|   0   338k  360k 6241 
  12k   32k|  3   4  93   0   0   0   0| 12k| 14   0 1.0| 26  74   0   0   0|154 5.0  41 118|   0   349k  373k 5019 
  12k   33k|  3   4  93   0   0   0   0| 12k| 16   0 3.0| 27  73   0   0   0|154 5.0  41 118|   0   332k  355k 4657 
  11k   32k|  4   2  93   0   0   0   0| 11k| 14   0 1.0| 60  40   0   0   0|154 5.0  41 118|   0   199k  191k 5055 
  10k   30k|  5   2  93   0   0   0   0| 11k| 16   0 1.0| 73  27   0   0   0|154 5.0  41 118|   0   108k   95k   92k
7950    21k|  5   2  93   0   0   0   0|  8k| 14   0 1.0| 67  32   0   0   0|154 5.0  41 118|   0    67k   81k  307k
8076    21k|  5   2  93   0   0   0   0|  8k| 14   0 1.0| 69  32   0   0   0|154 5.0  41 118|   0    66k   80k  302k
8131    22k|  4   2  93   0   0   0   0|  8k| 15   0 2.0| 68  32   0   0   0|154 5.0  41 118|   0    66k   81k  305k
9209    23k|  5   2  93   0   0   0   0| 10k| 14   0 2.0| 68  32   0   0   0|154 5.0  41 118|   0    80k   96k  330k
8042    22k|  5   2  93   0   0   0   0|  8k| 16   0 3.0| 68  32   0   0   0|154 5.0  41 118|   0    67k   81k  304k
7731    21k|  4   2  94   0   0   0   0|  8k| 16   0 1.0| 66  34   0   0   0|154 5.0  41 118|   0    64k   77k  290k
7860    22k|  4   2  93   0   0   0   0|  8k| 14   0 2.0| 66  33   0   0   0|153 5.0  41 117|   0    65k   79k  298k
7951    21k|  4   2  93   0   0   0   0|  8k| 14   0 2.0| 69  32   0   0   0|153 5.0  41 117|   0    66k   80k  299k
7923    22k|  5   2  93   0   0   0   0|  8k| 19   0 2.0| 68  31   0   0   0|153 5.0  41 117|   0    67k   81k  305k
8046    22k|  5   2  93   0   0   0   0|  8k| 19   0 1.0| 70  31   0   0   0|153 5.0  41 117|   0    65k   79k  296k
7723    21k|  5   2  93   0   0   0   0|  8k| 14   0 1.0| 68  31   0   0   0|153 5.0  41 117|   0    83k   79k  313k
7808    21k|  5   2  93   0   0   0   0|  8k| 14   0 1.0| 69  32   0   0   0|152 5.0  41 116|   0    59k   70k  290k
7734    21k|  5   2  93   0   0   0   0|  8k| 14   0 2.0| 71  28   0   0   0|152 5.0  41 116|   0    55k   68k  284k
8665    22k|  5   2  93   0   0   0   0|  9k| 14   0 1.0| 69  32   0   0   0|152 5.0  41 116|   0    57k   70k  281k
7413    12k|  3   4  93   0   0   0   0|  7k| 14   0 2.0| 25  75   0   0   0|152 5.0  41 116|   0    20k   26k  147k
6750  7303 |  2   4  93   0   0   1   0|  7k| 16   0 2.0| 15  85   0   0   0|152 5.0  41 116|   0  4748  5671   693k
7250  9006 |  2   4  93   0   0   0   0|  7k| 16   0  38| 10  90   0   0   0|152 5.0  41 116|   0    24k   39k  860k
7490  8614 |  6   1  93   0   0   0   0|  8k| 15   0  15| 94   6   0   0   0|151 5.0  41 115|   0    26k   27k   17k
6740  7618 |  6   1  94   0   0   0   0|  7k| 15   0 1.0| 98   2   0   0   0|151 5.0  41 115|   0    13k   14k 4269 
6775  7354 |  6   0  93   0   0   0   0|  7k| 15   0 2.0|100   0   0   0   0|151 5.0  41 115|   0  4856  5372  5248 
7354  8317 |  6   1  94   0   0   0   0|  7k| 15   0 2.0| 98   2   0   0   0|151 5.0  41 115|   0  4922  5942  4755 
6687  7643 |  6   0  93   0   0   0   0|  7k| 15   0 1.0| 99   1   0   0   0|151 5.0  41 115|   0  9607    10k 4241 
6342  7390 |  6   0  94   0   0   0   0|  6k| 18   0 6.0| 99   1   0   0   0|151 5.0  41 115|   0  9581    10k 4203 
  11k   29k|  3   3  93   0   0   0   0| 11k| 15   0  28| 34  66   0   0   0|151 5.0  41 115|   0   303k  319k   27k
  12k   33k|  3   3  93   0   0   0   0| 12k| 15   0 1.0| 26  74   0   0   0|151 5.0  41 115|   0   310k  331k 4186 
  12k   32k|  3   4  93   0   0   0   0| 12k| 17   0 2.0| 28  72   0   0   0|151 5.0  41 115|   0   313k  334k 4083 
  12k   33k|  3   3  93   0   0   0   0| 12k| 17   0 1.0| 29  71   0   0   0|151 5.0  41 115|   0   319k  340k 4695 
  12k   33k|  4   3  93   0   0   0   0| 12k| 15   0 1.0| 28  72   0   0   0|151 5.0  41 115|   0   385k  410k   13k
  12k   33k|  3   3  93   0   0   0   0| 12k| 16   0 1.0| 28  71   0   0   0|151 5.0  41 115|   0   313k  335k 3995 
  13k   33k|  3   4  93   0   0   0   0| 13k| 16   0 2.0| 28  72   0   0   0|151 5.0  41 115|   0   322k  343k 4692 
  12k   32k|  3   4  94   0   0   0   0| 12k| 17   0 1.0| 26  74   0   0   0|151 5.0  41 115|   0   321k  343k 4109 
  12k   33k|  3   4  93   0   0   0   0| 12k| 38   0 3.0| 30  71   0   0   0|151 5.0  41 115|   0   332k  355k 4192 
  12k   33k|  3   3  93   0   0   0   0| 12k| 18   0 2.0| 31  68   0   0   0|151 5.0  41 115|   0   335k  358k 4317 
  12k   32k|  3   3  94   0   0   0   0| 12k| 15   0 1.0| 30  71   0   0   0|151 5.0  41 115|   0   326k  348k 4295 
  12k   33k|  3   3  93   0   0   0   0| 12k| 28   0 3.0| 30  70   0   0   0|151 5.0  41 115|   0   342k  365k 4442 
  13k   33k|  3   3  93   0   0   0   0| 13k| 17   0 2.0| 30  70   0   0   0|152 5.0  41 116|   0   330k  353k 4057 
  12k   33k|  3   3  93   0   0   0   0| 12k| 17   0 2.0| 29  71   0   0   0|152 5.0  41 116|   0   331k  354k 6808 
  12k   34k|  4   2  93   0   0   0   0| 12k| 16   0 1.0| 55  45   0   0   0|152 5.0  41 116|   0   209k  203k 4632 
  11k   33k|  5   2  93   0   0   0   0| 11k| 15   0 6.0| 70  30   0   0   0|153 5.0  41 117|   0   130k  109k   31k
9118    24k|  5   2  93   0   0   0   0| 10k| 16   0  25| 69  31   0   0   0|153 5.0  41 117|   0    92k  112k  366k
8418    23k|  5   2  93   0   0   0   0|  8k| 16   0 2.0| 67  33   0   0   0|153 5.0  41 117|   0    64k   76k  286k
8145    22k|  5   2  93   0   0   0   0|  8k| 15   0 2.0| 67  33   0   0   0|153 5.0  41 117|   0    63k   76k  286k
7842    22k|  4   2  94   0   0   0   0|  8k| 15   0 2.0| 67  33   0   0   0|153 5.0  41 117|   0    65k   77k  292k
8612    24k|  5   2  93   0   0   0   0|  9k| 17   0 9.0| 67  33   0   0   0|153 5.0  41 117|   0    62k   75k  280k
8265    23k|  5   2  93   0   0   0   0|  8k| 19   0 4.0| 70  29   0   0   0|153 5.0  41 117|   0    67k   79k  296k
8065    22k|  5   2  93   0   0   0   0|  8k| 15   0 1.0| 72  29   0   0   0|153 5.0  41 117|   0    64k   77k  291k
8420    23k|  5   3  92   0   0   0   0|  9k| 15   0 3.0| 67  33   0   0   0|153 5.0  41 117|   0   108k  126k  472k
8249    23k|  5   2  93   0   0   0   0|  8k| 17   0 5.0| 68  32   0   0   0|152 5.0  41 116|   0    67k   81k  304k
8195    22k|  5   2  93   0   0   0   0|  8k| 15   0 2.0| 68  32   0   0   0|152 5.0  41 116|   0    65k   79k  297k
8194    22k|  5   2  93   0   0   0   0|  8k| 15   0 3.0| 70  30   0   0   0|152 5.0  41 116|   0    66k   80k  305k
7979    22k|  5   2  93   0   0   0   0|  8k| 25   0 2.0| 67  33   0   0   0|152 5.0  41 116|   0    57k   70k  286k
8125    22k|  5   2  93   0   0   0   0|  8k| 16   0 2.0| 70  30   0   0   0|152 5.0  41 116|   0    55k   68k  279k
8408    23k|  5   2  93   0   0   0   0|  8k| 16   0 3.0| 70  30   0   0   0|152 5.0  41 116|   0    59k   72k  291k
8374    23k|  5   2  93   0   0   0   0|  8k| 16   0 1.0| 70  30   0   0   0|152 5.0  41 116|   0    51k   64k  284k
7117    10k|  2   4  93   0   0   0   0|  7k| 16   0 2.0| 15  85   0   0   0|152 5.0  41 116|   0    11k   15k  114k
6523  7171 |  2   4  94   0   0   1   0|  7k| 16   0 2.0| 14  86   0   0   0|152 5.0  41 116|   0  3592  4557   693k
6734  7407 |  2   3  94   0   0   0   0|  7k|1.0   0 2.0| 10  47  43   0   0|152 5.0  41 116|   0  3945  5029   934k
5518  7245 |  2   1  97   0   0   0   0|  6k|1.0   0 3.0|  0   0  99   0   0|153 5.0  41 117|   0  4285  4570  4780 
5425  7157 |  2   1  97   0   0   0   0|  5k|  0   0 2.0|  1   0  99   0   0|153 5.0  41 117|   0  4020  4545  4382 
6220  9085 |  3   1  96   0   0   0   0|  6k|  0   0 1.0|  3   1  95   0   0|153 5.0  41 117|   0  4862  5232  5697 
5598  7569 |  3   1  96   0   0   0   0|  6k|1.0   0 1.0|  2   0  98   0   0|153 5.0  41 117|   0  3939  4276  3958 
5946  7932 |  2   1  96   0   0   0   0|  6k|1.0   0 1.0|  1   1  98   0   0|153 5.0  41 117|   0  4088  4314  4220 
6294  7796 |  3   1  96   0   0   0   0|  6k|1.0   0 2.0|  3   3  95   0   0|153 5.0  41 117|   0  5402  5970  7574 
6755  7996 |  3   1  96   0   0   0   0|  8k|1.0   0 2.0|  1   0  98   0   0|153 5.0  41 117|   0  7912  8760  8190 
6033  7429 |  2   1  97   0   0   0   0|  6k|  0   0 3.0|  2   1  97   0   0|153 5.0  41 117|   0  4195  4753  5027 
6007  7627 |  3   1  96   0   0   0   0|  6k|1.0   0 1.0|  0   1  98   0   0|153 5.0  41 117|   0  4020  4454  5604 
7001  9728 |  3   1  96   0   0   0   0|  7k|1.0   0 2.0|  3   2  94   0   0|153 5.0  41 117|   0  7310  8028    10k
5540  7137 |  2   1  96   0   0   0   0|  6k|1.0   0 2.0|  1   1  98   0   0|153 5.0  41 117|   0  4184  4712  4228 
5749  7179 |  3   1  96   0   0   0   0|  6k|1.0   0 2.0|  1   0  98   0   0|153 5.0  41 117|   0  4595  4842  4126 
6090  7515 |  2   1  97   0   0   0   0|  6k|1.0   0 1.0|  1   1  98   0   0|153 5.0  41 117|   0  3840  4344  4903 
